Word,Count
les,2587
le,2566
muslims,2464
la,2130
sont,2100
e,1949
islam,1677
che,1376
musulmans,1177
voile,1128
est,1107
di,1104
vogliono,1091
femmes,1076
gli,1023
loro,1019
des,1017
et,922
con,911
per,840
de,805
pas,798
è,786
non,762
voilées,759
musulmani,758
une,726
ne,709
il,690
want,680
religion,678
sono,678
women,659
muslim,644
tutti,588
islamici,586
must,531
nostre,523
islamic,504
arabi,477
tous,475
notre,470
dans,468
ci,467
pour,457
un,454
us,443
islamique,432
à,415
terroristes,413
religione,410
misérables,398
nel,387
nostra,361
li,359
contre,343
nous,338
donne,337
veil,327
delle,326
veiled,324
dobbiamo,314
casa,309
musulmanes,306
più,296
terrorisme,288
nostro,287
violence,272
cannot,266
hate,262
rape,259
incompatible,259
kill,256
noi,256
quelli,254
al,246
paese,243
violenza,239
people,234
wear,231
questo,231
nelle,228
degli,224
forced,223
terroristi,222
leur,218
back,217
one,216
porter,211
una,208
obligées,205
solo,203
accogliamo,202
compiono,202
moriremo,200
malattie,200
soumises,199
portent,199
subjected,199
bisogna,196
mezzo,196
valeurs,194
opportuno,194
arabs,194
government,190
political,189
atti,187
attack,185
tolérants,183
support,180
simili,179
si,178
come,173
plus,170
problèmes,170
démonstration,166
représente,166
politique,166
signification,166
demonstration,166
return,164
proprio,164
impose,163
nella,162
western,161
mosques,161
elles,161
stati,160
je,158
build,157
seguono,156
would,151
like,149
terrorists,149
qui,148
retournez,147
votre,147
veux,147
questi,146
travaillent,143
alle,143
nothing,142
believe,141
country,140
death,140
en,135
ton,133
agression,133
assaut,133
honte,133
moschee,133
values,131
persone,131
tutte,130
luoghi,130
nei,129
costruire,129
eliminare,129
tra,128
dei,128
sent,127
su,127
cult,126
nos,126
children,125
think,125
fondamentalistes,125
islamistes,125
fundamentalist,125
islamist,125
salafist,125
enfermées,125
locked,125
take,124
go,124
bring,124
girls,123
da,123
anyone,122
europe,122
culto,122
aux,121
culture,120
conquer,119
welcome,118
volta,116
sharia,115
nuove,115
liberal,114
invade,113
sarà,113
stanno,113
fact,111
se,111
society,110
live,109
koran,108
years,108
avec,108
die,108
cercano,108
sexual,107
gardées,107
aucun,107
del,107
soluzione,107
every,106
conquistarci,106
rispondere,106
terroristici,106
sottometterci,106
contrastarli,106
invaderci,106
attacarli,106
respond,106
middle,105
vengono,105
make,103
civilised,103
see,102
envers,102
contro,102
far,102
even,101
imporci,101
violenze,101
stop,100
riporteranno,100
faremo,100
fame,100
erano,100
porteranno,100
carestie,100
ritornare,100
ricondurrano,100
arretratezza,100
cui,100
povertà,100
starve,100
diseases,100
détestent,99
alla,99
quelle,98
violentano,98
rule,97
lo,97
sui,97
police,96
sessuali,96
vanno,95
punish,94
wants,94
autres,94
partage,94
many,93
della,93
comandare,93
diffondere,92
arrivano,92
tramite,91
fermarli,90
abusano,90
quiconque,89
seguire,89
forza,89
ordini,89
white,88
majority,88
rimandarli,88
nazioni,88
cercando,88
impartire,88
rimpatriarli,88
valere,88
ideologie,88
rispedirli,88
origine,88
house,88
need,87
bestie,87
allowed,86
animali,86
way,85
voyons,85
problème,85
crée,85
pose,85
beaucoup,85
seeing,85
islamica,85
gangs,84
britain,84
another,83
voglio,82
english,79
child,79
manteniamo,79
provvediamo,79
sembrano,79
ospitiamo,79
forniamo,79
aiuto,79
economico,79
considerarsi,79
agli,79
violent,78
world,78
stesso,78
since,77
put,77
uccidere,77
credono,77
compie,77
assassinare,77
chi,77
day,76
could,76
siano,76
crocefissi,76
ogni,75
commit,74
respect,74
say,73
devono,73
british,72
use,72
place,72
uk,72
problems,72
raping,71
problem,71
questa,71
fare,71
fanno,71
ad,71
countries,70
made,70
west,70
sia,70
girl,69
modo,68
rapists,67
almost,67
become,67
credo,67
tante,67
different,66
better,65
peaceful,65
poco,65
without,64
accept,64
mental,64
pochi,64
anni,64
buoniste,64
entrare,64
indossare,63
share,62
contribute,62
never,61
signs,61
saying,61
really,61
messi,61
concorrenza,61
città,61
contrasto,61
costruendo,61
talmente,61
esisteranno,61
began,61
compete,61
cultures,60
using,59
blow,59
war,58
murder,57
let,57
rapes,57
massa,57
beliefs,56
spread,56
useful,56
confronti,56
punishment,55
pakistan,55
criminals,54
know,54
companies,54
raped,54
devrions,54
anything,53
modern,53
laws,53
time,52
ucciderci,52
labelled,51
persons,51
cruel,51
suicide,51
bombings,51
global,51
anche,51
voi,51
odiano,51
conflitto,51
cristiani,51
sterminarli,51
intolleranti,51
nostri,51
burqa,51
isis,50
professes,50
oppress,50
solve,50
hole,50
everyone,49
risk,49
first,49
started,49
christian,49
enough,49
refuse,49
vedere,49
rimanere,49
punished,48
accepted,48
everything,48
ideology,48
easter,48
considered,47
part,47
someone,47
main,46
decide,46
talking,46
taken,46
imporranno,46
image,45
protesters,45
insult,45
caption,45
good,45
national,45
hiv,45
thousands,44
follow,44
être,44
ones,43
velo,43
always,42
evil,42
book,42
longer,42
tanto,42
vivere,42
cultura,42
vera,42
propria,42
common,41
safer,41
done,41
something,41
islamists,41
away,41
trust,41
due,41
committed,40
race,40
stay,40
dreadful,40
conciliation,40
town,40
momento,40
citizens,39
real,39
islamics,39
plague,39
goverment,39
système,39
enslave,38
immigrants,38
maybe,38
despicable,38
vergogna,38
crocefisso,38
mancanza,38
imbarazzante,38
rispetta,38
riprorevole,38
fatto,38
tolti,38
dalle,38
giusto,38
shame,38
crucifix,38
lack,38
deport,37
intolerant,37
victim,37
much,37
vast,37
unemployed,37
deliberately,37
inclined,37
working,37
tempo,37
possiamo,37
grooming,36
playing,36
add,36
value,36
enrich,36
start,36
eggs,36
invasion,36
commanded,36
saudi,36
portare,36
understand,35
ask,35
ever,35
submitting,35
chez,35
parte,35
instead,34
sounds,34
corporal,34
acts,34
disgusting,34
quran,34
belong,34
taking,34
burn,34
living,34
maladie,34
deve,34
tolerate,33
societies,33
tolerating,33
christmas,33
also,33
du,33
birmingham,32
men,32
fuck,32
taught,32
present,32
fight,32
set,32
foot,32
persecutes,32
gay,32
double,32
remain,32
suoi,32
indosseranno,32
breve,32
obbligheranno,32
immaginare,32
anticonformiste,32
difendevano,32
prenderà,32
controllo,32
costringendo,32
bleeding,32
hearts,32
banned,31
get,31
public,31
keep,31
remember,31
invading,31
soon,31
home,31
farsi,31
nazione,31
citizen,30
islamophobic,30
holy,30
terrorism,30
pretend,30
although,30
cause,30
italy,30
disease,30
meal,30
catch,30
afghanistan,30
fear,30
brought,30
terrorist,30
doivent,30
hommes,30
queste,30
dovremmo,30
immigrati,30
inutile,30
porterà,30
contenti,30
seppur,30
rimanessero,30
looks,29
false,29
learned,29
might,29
expel,29
devrait,29
ai,29
mettere,29
thousand,28
pakistani,28
local,28
normal,28
slave,27
criticize,27
nowadays,27
religions,27
represents,27
trying,27
deal,27
dog,27
great,27
encourage,27
pendant,27
sempre,27
italia,27
saltare,27
saremo,27
eliminate,26
killing,26
exist,26
words,26
law,26
traditional,26
