Word,Count
people,3068
women,1747
jews,1578
like,1185
think,1087
muslims,1085
want,1057
many,973
black,941
islam,912
would,853
migrants,766
human,755
immigrants,704
different,665
gay,646
society,637
men,631
part,628
need,586
live,562
even,547
say,545
country,534
right,530
us,513
make,506
problem,499
gays,477
religion,476
know,457
see,449
rights,449
feminism,442
blacks,416
welcome,412
nothing,410
white,403
sexual,395
respect,389
come,384
world,384
also,383
still,366
control,357
good,354
take,352
better,350
always,349
must,344
hate,344
children,339
burden,336
stop,331
one,329
way,329
mean,305
get,303
deserve,303
jewish,302
really,288
maybe,285
lgbt,284
feel,282
place,280
work,279
muslim,276
cannot,274
believe,273
never,272
since,270
less,270
without,262
saying,250
everyone,246
homosexuality,243
equal,241
violent,241
equality,240
lot,236
much,233
bad,233
gender,233
evidence,232
someone,231
accept,229
anyone,229
bunch,223
sure,220
often,218
trying,217
contribute,217
allowed,216
time,213
true,209
help,204
uk,202
european,201
could,200
love,200
fact,195
crime,195
something,194
every,193
understand,191
race,191
simply,191
person,187
discrimination,186
care,185
western,185
regardless,184
immigration,183
important,183
inferior,181
actually,177
countries,176
violence,176
sex,175
feminists,175
go,173
makes,173
social,172
beings,172
peaceful,169
skin,167
born,165
culture,163
free,163
incompatible,163
idea,162
thing,160
rather,157
british,156
life,156
look,155
around,155
proud,151
choose,151
means,151
reason,151
modern,151
majority,148
become,146
great,144
find,144
ideology,144
jobs,142
refugees,141
group,140
rape,139
treated,138
anything,138
towards,137
based,136
threat,134
long,132
made,132
homosexuals,129
health,128
living,128
back,127
used,127
able,127
instead,127
try,127
point,125
coming,124
likely,124
racism,124
hard,124
new,123
things,122
start,122
wrong,121
may,121
seems,120
criminals,120
government,120
diverse,120
power,119
diversity,118
media,118
community,118
real,115
support,113
europe,113
cause,112
isolated,111
pay,110
population,110
create,110
woman,110
kids,109
history,109
citizens,109
ones,109
inherently,109
religious,107
banned,107
whole,107
taking,106
genetically,106
blame,104
especially,104
kind,104
normal,104
keep,102
crimes,101
lives,100
bring,100
mental,100
holocaust,100
orientation,100
dangerous,99
danger,99
folks,99
suggest,98
happy,98
read,97
claim,97
might,97
subhuman,97
civilised,97
niggas,96
movement,96
let,95
talk,95
give,95
use,95
contributed,95
change,95
problems,94
news,93
another,92
migration,92
given,92
groups,92
african,92
color,92
matter,91
belong,91
humans,91
talking,90
promotes,90
well,89
completely,89
interested,89
steal,89
myth,89
racist,88
racial,88
sick,88
lack,88
promote,88
called,87
show,86
spread,86
harmful,85
safe,85
man,85
got,85
conspiracy,85
going,85
making,84
individual,84
enough,84
full,84
sounds,84
capable,84
seem,83
trans,83
accepted,83
integrate,83
allow,83
everything,82
family,82
difference,82
brothers,82
others,81
remain,81
end,80
persecuted,80
committed,80
responsible,80
members,80
experience,79
abuse,79
working,79
considered,79
democratic,79
american,79
else,78
proof,78
created,78
stay,77
colour,77
including,77
asylum,76
possible,76
probably,75
learn,75
minority,75
certain,74
basically,74
political,73
entitled,73
ban,73
law,72
course,72
put,72
disease,72
incapable,72
seen,71
attracted,71
death,71
already,71
ever,71
fight,71
vote,71
disgusting,71
million,70
fair,70
spreading,70
fear,70
agree,69
commit,69
example,69
millions,69
rule,69
discriminated,69
treat,68
first,68
criminal,68
terrorism,68
vast,68
education,68
faggots,68
tell,67
laws,67
child,66
contributing,66
victims,66
statistics,66
values,65
speak,65
identity,65
thinking,65
grow,65
whites,65
inclusive,65
job,65
beliefs,65
words,65
statement,65
worse,65
public,64
migrant,64
war,64
personal,64
united,64
best,64
housing,63
freedom,63
home,63
provide,63
small,63
destroy,63
according,63
ways,63
whatever,62
accepting,62
states,62
okay,61
stand,61
source,61
value,61
influence,61
done,60
ashamed,60
run,60
killing,60
among,60
peace,60
negative,60
protect,59
last,59
forced,59
away,59
reality,59
therefore,59
fleeing,58
big,58
poverty,58
clearly,58
plenty,57
invading,57
face,57
issue,57
number,57
rapists,57
cancer,57
surely,56
illegal,56
happened,56
wants,56
whether,56
far,56
respected,56
force,55
consider,55
benefit,55
sense,54
call,54
said,54
state,54
cultural,54
please,54
act,54
special,54
tired,54
tolerant,54
house,53
ask,53
article,53
africans,53
economic,53
areas,53
economy,53
ideas,53
trouble,53
prejudice,53
individuals,53
financial,52
system,52
straight,52
focus,52
taught,52
sometimes,52
ethnic,52
check,52
religions,52
secret,52
opinion,52
concept,52
money,51
exist,51
needs,51
two,51
practice,51
order,51
notion,51
perverts,51
excluded,51
found,50
definitely,50
share,50
happens,50
told,50
came,50
controlling,50
lesbians,50
greatly,50
sickness,50
quran,50
least,49
open,49
happen,49
natural,49
plot,49
cultures,49
case,49
says,49
dominated,49
getting,48
common,48
positions,48
police,48
ruining,48
compatible,48
scientific,48
foreigners,47
years,47
caused,47
follow,47
terrorist,47
nhs,47
positive,47
little,47
islamic,47
eu,47
abomination,47
hatred,46
creating,46
exactly,46
middle,46
using,45
together,45
physical,45
democracy,45
understanding,44
usually,44
ok,44
transgender,44
strong,44
word,44
serious,44
moral,44
genetic,44
americans,44
faith,44
concerned,43
gangs,43
soft,43
promiscuous,43
responsibility,43
times,43
feminist,43
homeless,42
terrorists,42
thousands,42
today,42
sharia,42
telling,42
comes,42
mass,42
dignity,42
perhaps,42
killed,42
families,41
question,41
replace,41
west,41
high,41
met,41
pride,41
specific,41
improve,41
acceptable,40
build,40
benefits,40
bisexual,40
protected,40
feeling,40
wanted,40
heterosexual,40
contribution,40
drain,40
includes,40
left,39
day,39
nice,39
rid,39
fit,39
fighting,39
fault,39
sexuality,39
truth,39
integration,39
result,39
koran,39
play,38
access,38
young,38
agenda,38
clear,38
relationships,38
letting,38
respecting,38
opportunities,38
lead,38
behind,38
necessarily,38
entering,38
lifestyle,38
aware,38
differences,38
kill,38
wish,38
slavery,38
societies,38
oppressing,38
intelligent,38
native,37
however,37
throughout,37
national,37
east,37
taxes,37
decide,37
despite,37
discriminate,37
thought,37
studies,37
eyes,36
though,36
anybody,36
across,36
teach,36
term,36
promoting,36
stealing,36
justify,36
impact,36
weak,36
bible,36
murder,36
bit,35
percentage,35
teaching,35
healthy,35
communities,35
lazy,35
oppression,35
large,35
perpetuated,35
excluding,35
totalitarian,35
related,34
potential,34
due,34
risk,34
basic,34
schools,34
either,34
worst,34
powerful,34
issues,34
solution,34
attitude,34
emotional,34
inclusion,34
exclude,34
imply,34
nazis,34
emotions,34
offensive,33
ruin,33
lots,33
link,33
homosexual,33
plan,33
trust,33
affected,33
halal,33
opportunity,33
construct,33
situation,33
division,33
coexist,33
thieves,33
divide,33
thanks,33
willing,33
behavior,33
workers,32
aids,32
lie,32
false,32
raise,32
quite,32
paying,32
loving,32
stereotypes,32
set,32
helped,32
subvert,32
evil,32
dogs,31
taken,31
rate,31
wanting,31
calling,31
girls,31
attack,31
citizen,31
marriage,31
poor,31
teaches,31
blood,31
basis,31
label,31
similar,31
arrested,30
legal,30
giving,30
houses,30
mind,30
space,30
invasion,30
wealth,30
minorities,30
worth,30
total,30
unless,30
proven,30
male,30
opposite,30
rules,30
submissive,30
valued,30
centuries,30
lgbts,30
remove,30
highest,30
crisis,29
cares,29
causes,29
seekers,29
amount,29
slaves,29
affect,29
built,29
deny,29
research,29
comfortable,29
biggest,29
wear,29
nazi,29
integrated,29
biological,29
building,29
major,29
role,29
excuse,29
stereotype,29
second,29
although,29
within,29
main,29
tolerate,29
races,29
plague,29
highly,29
success,29
hollywood,29
discriminating,29
homes,28
remember,28
seek,28
hope,28
roles,28
otherwise,28
jew,28
greedy,28
allowing,28
female,28
careful,28
helping,28
lower,28
huge,28
meant,28
absolutely,28
africa,28
impose,28
difficult,28
report,28
undermine,28
information,28
nation,28
selfish,28
alleged,28
controlled,28
intolerance,28
judaism,28
incompetent,28
discriminatory,28
domination,28
christian,27
leave,27
stopped,27
committing,27
growing,27
tv,27
yet,27
theories,27
apply,27
literally,27
defined,27
brought,27
sharing,27
worked,27
mostly,27
entire,27
negroes,27
target,27
suffer,27
innocent,27
protocols,27
complete,27
preference,27
contributions,27
unique,27
achieve,27
constitution,27
childlike,27
view,26
disgrace,26
complex,26
choice,26
story,26
wonder,26
convention,26
impossible,26
obviously,26
shows,26
hear,26
none,26
industry,26
banning,26
skills,26
receive,26
ignore,26
afraid,26
attacks,26
blamed,26
experiences,26
preserve,26
isolate,26
diseases,26
fellow,26
oppressed,26
superior,26
objects,26
seeing,25
suffered,25
seeking,25
mentally,25
meaning,25
drug,25
identify,25
everywhere,25
easy,25
goes,25
terrible,25
rejected,25
nobody,25
totally,25
deal,25
security,25
toxic,25
empowerment,25
justice,25
overrunning,25
persecution,25
veterans,24
cult,24
guess,24
christians,24
britain,24
raising,24
easily,24
hiv,24
third,24
cases,24
reported,24
angry,24
naturally,24
hold,24
sorry,24
parents,24
acceptance,24
particular,24
complaining,24
international,24
class,24
animals,24
started,24
represent,24
opposed,24
listen,24
deport,24
dominate,24
shit,24
judge,24
connection,24
skilled,24
useful,24
raised,24
root,24
prefer,24
tolerance,24
civilization,24
bloodline,24
indeed,24
old,23
traditional,23
whilst,23
heard,23
english,23
looking,23
grooming,23
hundreds,23
opinions,23
perfectly,23
educate,23
lesbian,23
bisexuals,23
address,23
break,23
medical,23
stories,23
prevent,23
shame,23
filthy,23
helpful,23
creation,23
unable,23
unemployment,23
present,22
gone,22
data,22
age,22
complain,22
turn,22
refugee,22
supported,22
solve,22
safety,22
backgrounds,22
manage,22
reflect,22
hateful,22
asian,22
represented,22
drag,22
expect,22
theory,22
charge,22
forcing,22
bringing,22
definition,22
climate,22
exposed,22
study,22
bitches,22
patriarchal,22
past,22
duty,22
speech,22
shown,22
kinds,22
descended,22
host,22
supremacy,22
core,22
strange,22
referring,22
keeping,22
dream,22
historical,22
claiming,22
founded,22
wars,22
goal,22
realize,22
reasons,21
streets,21
nonsense,21
assault,21
paid,21
mosques,21
yes,21
stuff,21
explains,21
places,21
known,21
school,21
behaviour,21
unfair,21
century,21
makeup,21
various,21
changing,21
language,21
feelings,21
levels,21
blaming,21
examples,21
sad,21
peacefully,21
nigga,21
form,21
several,21
written,21
lived,21
superiority,21
fix,21
rest,21
types,21
fake,20
local,20
civil,20
believing,20
ethnicity,20
hide,20
scientists,20
rates,20
looks,20
putting,20
strength,20
facts,20
submit,20
europeans,20
encourages,20
immigrant,20
meat,20
corrupt,20
hating,20
extremists,20
include,20
recognize,20
member,20
oppress,20
confuse,20
describe,20
enter,20
suffering,20
fabric,20
whining,20
celebrate,20
helps,20
neither,19
scared,19
business,19
type,19
explain,19
confusing,19
perverted,19
achieved,19
essential,19
faced,19
starting,19
fun,19
equally,19
necessary,19
learning,19
replacing,19
account,19
loved,19
multiculturalism,19
businesses,19
hostile,19
rational,19
respectful,19
suggesting,19
position,19
involved,19
reasoning,19
torture,19
fundamental,19
rise,19
holding,19
accused,19
undocumented,19
donate,19
foreigner,19
tend,19
apes,19
america,19
statements,18
future,18
islamophobia,18
witch,18
amongst,18
homophobia,18
everybody,18
develop,18
encourage,18
knowing,18
spend,18
filled,18
prove,18
nature,18
orientations,18
masculinity,18
eat,18
genocide,18
happening,18
classes,18
available,18
incidents,18
beyond,18
argument,18
aims,18
flee,18
unfortunately,18
smart,18
disorder,18
disrespect,18
stranglehold,18
divisive,18
harm,18
pose,18
poc,18
losing,18
essentially,18
exclusion,18
connected,18
participate,18
empty,17
shared,17
churches,17
welcoming,17
anymore,17
cost,17
higher,17
offended,17
actions,17
protection,17
gives,17
illegally,17
fags,17
whoever,17
thriving,17
sources,17
status,17
healthcare,17
legitimate,17
effects,17
went,17
development,17
encouraging,17
global,17
articles,17
menace,17
process,17
knows,17
appropriate,17
brainwash,17
raping,17
friends,17
needed,17
subject,17
private,17
developing,17
purity,17
hated,17
half,17
valuable,17
successful,17
devastated,17
move,17
science,17
civilized,17
hotels,16
failure,16
migrate,16
close,16
wake,16
attention,16
conflicts,16
discuss,16
fine,16
assume,16
showing,16
star,16
extreme,16
socially,16
morality,16
outdated,16
supposed,16
corruption,16
biologically,16
existence,16
works,16
shut,16
learned,16
doctors,16
interest,16
begin,16
limited,16
eradicate,16
book,16
inherited,16
guarantees,16
situations,16
escape,16
earn,16
fail,16
knowledge,16
stable,16
proper,16
bodies,16
union,16
movie,16
followers,16
empathy,16
obvious,16
sleeping,15
largely,15
profit,15
send,15
views,15
recent,15
doubt,15
relationship,15
alongside,15
womens,15
woke,15
wonderful,15
next,15
transgenders,15
dress,15
educated,15
inequalities,15
resources,15
pretty,15
stir,15
universal,15
rich,15
employment,15
hardly,15
level,15
valid,15
confused,15
almost,15
targeted,15
traditions,15
sort,15
demographic,15
systematic,15
guilty,15
heritage,15
independent,15
fucking,15
sexist,15
lies,15
buy,15
advantage,15
destruction,15
weird,15
sisters,15
defending,15
perspective,15
ruined,15
aimed,15
threaten,15
hunt,15
homophobic,15
legally,15
malevolence,15
developed,15
lgbti,15
accusation,15
quality,15
denied,15
shortage,14
somewhere,14
progress,14
politicians,14
preventing,14
becoming,14
hand,14
employers,14
oh,14
safer,14
replacement,14
epidemic,14
vulnerable,14
extremely,14
critical,14
biased,14
reliable,14
persons,14
tough,14
sound,14
struggle,14
logic,14
fully,14
disproportionate,14
concentration,14
illness,14
bisexuality,14
economically,14
cruel,14
moving,14
outside,14
beat,14
dressing,14
increase,14
actual,14
single,14
convinced,14
tried,14
personally,14
watch,14
conflict,14
forget,14
horrible,14
enemy,14
eliminate,14
alone,14
truly,14
israelis,14
worthy,14
elders,14
agents,14
waste,14
standard,14
heterosexuals,14
confined,14
deserving,14
range,14
conscience,14
differently,14
background,14
destructive,14
subhumans,14
adherents,14
fled,14
convicted,14
subdue,14
welcomed,14
patriarchy,14
characteristics,14
genetics,14
held,14
threatened,14
saudi,14
month,13
afford,13
grounds,13
unacceptable,13
labour,13
generally,13
hire,13
terms,13
acts,13
extremism,13
disproportionately,13
deserves,13
list,13
indoctrinate,13
perversion,13
reading,13
suggests,13
scapegoating,13
supply,13
running,13
glad,13
automatically,13
asia,13
except,13
operate,13
denying,13
assumption,13
stopping,13
imagine,13
anti,13
reports,13
survivors,13
compared,13
teachings,13
tone,13
innovators,13
correct,13
determine,13
strive,13
generalize,13
strangers,13
fullness,13
causing,13
zero,13
attempt,13
acting,13
voting,13
monopoly,13
disparities,13
pricks,13
solved,13
directors,13
ensure,13
enjoy,13
reasonable,13
associate,13
generalization,13
heterosexuality,13
disadvantaged,13
reject,13
channel,12
invaders,12
claims,12
asking,12
area,12
abused,12
add,12
shoved,12
supporting,12
serve,12
technological,12
low,12
domestic,12
website,12
talked,12
tourism,12
cities,12
gain,12
belief,12
couple,12
masculine,12
ago,12
generalise,12
filling,12
key,12
exists,12
invaded,12
conditions,12
mandatory,12
walk,12
speaking,12
perpetrators,12
define,12
body,12
asked,12
sexualisation,12
hitler,12
simplistic,12
suicide,12
return,12
current,12
expressed,12
nazism,12
desire,12
brings,12
thousand,12
privileges,12
comment,12
engage,12
courage,12
multicultural,12
obtain,12
plain,12
god,12
lose,12
continue,12
meet,12
russian,12
stem,12
water,12
permission,12
productive,12
mix,12
factual,12
denies,12
offices,12
patient,12
ills,12
responsibilities,12
sexism,12
evolutionary,12
bear,12
voice,12
criminality,12
dark,12
partner,12
leads,12
segregation,12
companies,12
challenge,12
consequences,12
socialism,12
arrived,11
saw,11
compassion,11
year,11
principles,11
expression,11
rainbow,11
border,11
disagree,11
ill,11
wage,11
toilets,11
days,11
exclusively,11
easier,11
biology,11
reproductive,11
realise,11
disgusts,11
disgust,11
nationality,11
spaces,11
unsafe,11
nowadays,11
caring,11
hates,11
worry,11
chooses,11
express,11
minds,11
islamophobic,11
baseless,11
kept,11
perpetrator,11
services,11
cry,11
overwhelming,11
exclusive,11
top,11
ugly,11
sign,11
murderers,11
currently,11
judged,11
following,11
colleagues,11
neighbor,11
poisoning,11
cared,11
restrict,11
mention,11
physically,11
load,11
integrating,11
portion,11
irrational,11
judging,11
vicious,11
seven,11
christ,11
victim,11
fulfilling,11
similarities,11
arrive,11
wherever,11
influenced,11
intellectual,11
finance,11
planet,11
luckily,11
secular,11
isolation,11
enemies,11
concern,10
homelessness,10
train,10
deeply,10
players,10
factors,10
market,10
fed,10
longer,10
soon,10
energy,10
politics,10
invade,10
line,10
took,10
extremist,10
civilisation,10
ignorant,10
bigger,10
advantages,10
stays,10
eastern,10
per,10
choices,10
societal,10
pretend,10
banks,10
behave,10
tells,10
feels,10
characters,10
multiple,10
genders,10
dating,10
destroying,10
constantly,10
correlation,10
widespread,10
measure,10
widely,10
cruelty,10
ignoring,10
parades,10
aim,10
random,10
alive,10
hoes,10
experienced,10
double,10
queer,10
liberal,10
favour,10
faiths,10
humanity,10
devastating,10
beautiful,10
christmas,10
considering,10
guaranteed,10
aggressive,10
unprotected,10
published,10
arguments,10
established,10
inconvenient,10
relegated,10
abilities,10
happiness,10
offer,10
mutual,10
unwilling,10
hiding,10
included,10
cooperation,10
tendency,10
upon,10
attacked,10
harmony,10
compromises,10
greatest,10
praised,10
strip,10
owned,10
flooding,10
hoax,10
surprised,10
constructed,10
reminds,10
inside,10
italians,10
general,10
radical,10
trusted,10
pain,10
insulting,10
destroyed,10
reduced,10
satisfy,10
consistently,10
select,10
authority,10
origin,10
curse,10
subservient,10
homo,10
disrespecting,10
restricted,10
adults,10
standards,10
fights,10
affordable,9
correctness,9
event,9
deported,9
pick,9
food,9
reach,9
debate,9
failed,9
minimum,9
flag,9
treating,9
tiny,9
argue,9
played,9
slippery,9
condemn,9
representative,9
changes,9
uncivilised,9
representation,9
exploit,9
friendly,9
estimated,9
decades,9
policies,9
refer,9
internet,9
historically,9
denial,9
brown,9
transition,9
felt,9
mixing,9
nuke,9
evolved,9
effect,9
demand,9
refuge,9
purpose,9
drunk,9
identifying,9
pure,9
mainstream,9
policy,9
labelled,9
settle,9
attraction,9
parts,9
ability,9
short,9
prisoners,9
quote,9
theodore,9
lessons,9
thank,9
coincide,9
finger,9
carefully,9
murderer,9
save,9
repeat,9
humankind,9
whose,9
applies,9
prison,9
wife,9
whores,9
unlike,9
conversation,9
proves,9
czar,9
fornicate,9
suggestion,9
unlikely,9
extended,9
variety,9
implying,9
misleading,9
beneficial,9
mixture,9
diseased,9
addicted,9
percent,9
decrease,9
collection,9
conducive,9
cope,9
institutional,9
dedicated,9
strategy,9
worried,9
misinterpreting,9
practiced,9
politically,9
replaced,9
holidays,9
constitute,9
pointing,9
began,9
secretly,9
freely,9
norms,9
intolerant,9
advocates,9
homophobes,9
perpetuates,9
appear,9
presence,9
purposely,9
finding,9
profiles,9
actively,9
certainly,9
hearing,9
mature,9
obey,9
reduce,9
utterly,9
fathers,9
integral,9
mexican,9
credible,9
upstanding,9
violation,9
celebration,8
post,8
credit,8
awards,8
creativity,8
foreign,8
pretending,8
video,8
clothes,8
passed,8
notions,8
exploitative,8
increased,8
logos,8
enforce,8
ridiculous,8
demonise,8
became,8
street,8
poorer,8
planned,8
historic,8
stick,8
sweeping,8
draw,8
etc,8
miserable,8
governments,8
mixed,8
openly,8
arriving,8
walking,8
controls,8
misinformation,8
backed,8
hot,8
reverse,8
dressed,8
waiting,8
pushing,8
attitudes,8
decisions,8
fought,8
pc,8
mad,8
couples,8
nuclear,8
stigma,8
ignorance,8
expressing,8
sorts,8
decides,8
intent,8
knew,8
changed,8
asians,8
code,8
worrying,8
turned,8
inequality,8
stupid,8
land,8
record,8
decision,8
pushed,8
broad,8
cover,8
activity,8
assimilate,8
hell,8
pieces,8
led,8
crises,8
somehow,8
awareness,8
name,8
bet,8
regular,8
queers,8
lying,8
fill,8
married,8
extinct,8
die,8
phrase,8
racists,8
test,8
preferences,8
applied,8
closed,8
treatment,8
grateful,8
arrest,8
wall,8
spreads,8
overall,8
guaranteeing,8
regularly,8
cure,8
answer,8
systematically,8
keeps,8
girl,8
beauty,8
represents,8
messages,8
reinforce,8
ultimately,8
divisions,8
ruling,8
despised,8
nasty,8
supremacists,8
cohesive,8
distortion,8
nations,8
freedoms,8
price,8
harassment,8
significant,8
perform,8
contributors,8
wide,8
approves,8
tool,8
numbers,8
uncomfortable,8
interactive,8
stifles,8
flawed,8
solar,8
perpetrated,8
lawful,8
misery,8
mainly,8
measures,8
delete,8
commited,8
perpetuate,8
spectrum,8
weapon,8
subjugate,8
income,8
dialogue,8
stereotyped,8
rely,8
hurt,8
objective,8
convert,8
degenerate,8
striving,8
willingly,8
indoctrinating,8
deadly,8
alienated,8
president,8
promoted,8
pension,8
obedient,8
generalizing,8
environment,8
degrading,8
sentence,8
rooted,8
tuberculosis,8
vacant,8
fortunately,8
gross,8
forces,7
lost,7
affects,7
molesters,7
transphobia,7
gets,7
condition,7
displaced,7
paedophiles,7
binary,7
bloodlines,7
early,7
park,7
reference,7
sites,7
funds,7
search,7
stock,7
wearing,7
skirts,7
leaders,7
structure,7
marxism,7
normalising,7
hair,7
reaction,7
mogrelised,7
camps,7
towns,7
genes,7
joining,7
encouraged,7
intelligence,7
imposing,7
oppressive,7
animal,7
islamification,7
coincidence,7
harder,7
struggling,7
scum,7
join,7
narrative,7
merely,7
mess,7
involving,7
assuming,7
average,7
wolf,7
feed,7
providing,7
self,7
takes,7
light,7
date,7
conclusions,7
structural,7
england,7
offers,7
scapegoats,7
reputation,7
fall,7
fuck,7
display,7
misrepresented,7
block,7
practices,7
disorders,7
achievements,7
puts,7
sexually,7
transmitted,7
inclination,7
romantic,7
germaine,7
apart,7
unworthy,7
reparations,7
impunity,7
allegiance,7
insists,7
peculiar,7
galactic,7
revenge,7
equals,7
supremacist,7
late,7
persecute,7
generations,7
subsumed,7
holds,7
worship,7
exaclty,7
folk,7
housework,7
assigned,7
devil,7
canard,7
tradition,7
manhood,7
forms,7
scholars,7
dare,7
provided,7
dividing,7
sneaky,7
inspires,7
fixing,7
arises,7
five,7
movies,7
repressive,7
doctrine,7
inhuman,7
dominating,7
regarding,7
six,7
welfare,7
requires,7
creates,7
wrongfully,7
version,7
benevolent,7
uncontrolled,7
coexistence,7
sucked,7
emotionally,7
emotion,7
planning,7
prone,7
covid,7
interrelated,7
choosing,7
leading,7
friend,7
honestly,7
hurting,7
precisely,7
organised,7
declaration,7
undesirable,7
performance,7
environmental,7
appears,7
relate,7
birth,7
babies,7
sodomites,7
influences,7
iraq,7
george,7
dick,7
condoleeza,7
donald,7
naturalized,7
fiction,7
whiny,7
arabia,7
employees,7
kindness,7
justified,7
fortune,7
prejudices,7
net,7
accurate,7
traits,7
chose,7
mother,7
devalue,7
risky,7
topic,7
loyal,7
descending,7
models,7
imprisoned,7
sunnah,7
tied,7
bribed,7
corrupted,7
morally,7
protesting,7
afghans,6
starts,6
handing,6
boats,6
desperate,6
donations,6
happily,6
pity,6
tax,6
stated,6
sending,6
club,6
pizza,6
along,6
count,6
neutral,6
loads,6
decimate,6
tested,6
roof,6
room,6
struggles,6
inform,6
identities,6
generalisation,6
owe,6
assaults,6
hormones,6
intersex,6
cut,6
advancement,6
influential,6
entered,6
elite,6
insane,6
earning,6
expecting,6
site,6
ignores,6
harming,6
brains,6
complement,6
guys,6
sexualising,6
lasses,6
managed,6
successfully,6
dealt,6
kalergi,6
fields,6
deviant,6
lifestyles,6
secure,6
non,6
suited,6
feminine,6
heads,6
superman,6
morals,6
dependent,6
campaign,6
corrupting,6
structures,6
legacy,6
leaving,6
object,6
erasing,6
rethink,6
teams,6
depends,6
pollute,6
sounding,6
iq,6
indian,6
owners,6
council,6
front,6
neighbourhoods,6
drugs,6
side,6
pass,6
redefine,6
separate,6
erase,6
femininity,6
beginning,6
wild,6
unnecessary,6
terror,6
goods,6
playing,6
india,6
dominance,6
goyim,6
avoid,6
explanations,6
press,6
looked,6
involve,6
frankly,6
product,6
thinks,6
upkeep,6
explaining,6
ignored,6
uneducated,6
bi,6
addressing,6
advocate,6
roosevelt,6
harmed,6
husbands,6
rightly,6
workforce,6
staff,6
firmly,6
greater,6
corporations,6
prohibiting,6
divided,6
sickening,6
allergy,6
