Word,Count
muslims,641
women,495
jews,450
islam,445
people,379
migrants,347
want,301
immigrants,267
place,209
like,198
muslim,198
must,193
gays,178
welcome,166
cannot,160
black,153
children,147
burden,142
bunch,141
steal,136
men,130
gay,129
problem,126
would,122
nothing,122
western,120
stop,118
civilised,118
religion,115
incompatible,114
hate,110
violent,109
allowed,108
take,105
us,104
jobs,104
feminism,103
folks,103
country,102
world,100
rape,95
ideology,92
society,90
need,87
control,86
blacks,86
death,84
many,83
disabled,83
different,74
every,74
better,73
way,71
live,71
basically,70
get,70
feminists,70
think,68
white,67
accept,66
jewish,65
come,62
contribute,61
refugees,61
go,59
uk,58
woman,57
right,57
faggots,57
sexual,56
european,55
sex,55
immigration,54
make,53
part,53
without,53
race,50
political,50
violence,50
bring,49
isolated,49
million,48
remain,47
millions,47
even,47
promotes,46
modern,46
bad,45
deserve,45
taking,44
mentally,44
good,43
cancer,43
europe,42
never,42
syndrome,42
back,42
gypsies,41
spreading,41
banned,40
always,39
around,39
normal,39
put,38
fucking,37
one,37
countries,36
cause,36
ban,36
niggas,36
homosexuals,36
could,35
still,35
time,35
rights,35
trying,34
belong,34
also,34
born,34
away,34
tired,34
interested,34
incapable,34
become,33
coming,33
inferior,33
potential,33
peaceful,33
child,33
rule,32
say,32
real,32
government,31
everyone,31
culture,31
equal,31
less,31
foreigners,30
holocaust,30
british,30
special,30
subhuman,30
since,29
great,29
vote,29
everything,29
know,29
physical,29
perverts,29
human,29
west,29
power,28
criminals,28
lgbt,28
danger,28
invading,28
mental,27
destroy,27
living,27
really,27
keep,27
invasion,27
gender,27
ruining,27
stand,27
man,26
free,26
illegal,26
coexist,26
care,26
threat,26
law,26
see,25
education,25
called,25
killing,25
kill,25
sharia,25
support,25
taught,25
responsible,24
soft,24
forced,24
start,24
war,24
replace,24
fat,24
rid,24
difficulties,24
social,23
migrant,23
believe,23
running,23
allow,23
identity,23
disgusting,23
islamic,23
cult,23
genetically,23
learning,23
equality,22
work,22
plot,22
problems,22
crime,22
homosexuality,22
allowing,22
force,22
koran,22
create,21
person,21
public,21
feel,21
let,21
another,21
came,21
laws,21
love,21
excluded,21
african,20
worse,20
state,20
weak,20
east,20
disease,20
diseases,20
home,20
blood,20
promiscuous,20
middle,20
much,20
lgbts,20
maybe,19
going,19
tell,19
someone,19
use,19
made,19
across,19
donate,19
dangerous,19
end,19
plague,19
quran,19
dominated,19
thousands,18
ok,18
find,18
secret,18
host,18
may,18
races,18
wants,18
respect,18
totalitarian,18
inherently,18
full,18
pay,18
drain,18
patriarchal,17
undermine,17
makes,17
new,17
house,17
point,17
used,17
africans,17
run,17
else,17
stay,17
overrunning,17
economically,17
school,17
replacing,17
abomination,17
life,17
orientation,17
accepting,17
