Word,Count
jews,46
muslims,25
gays,19
woman,17
want,15
islam,15
political,15
cannot,14
taking,14
feminism,14
physical,13
sexual,13
tired,13
part,13
divisive,13
force,13
races,13
stop,12
women,12
control,11
muslim,11
go,10
take,10
world,10
race,10
millions,10
everything,9
even,9
society,9
gender,9
better,8
diseases,8
taught,8
identity,8
orientation,8
donate,8
blood,8
western,8
coexist,8
christ,7
different,7
inherited,7
secret,7
plot,7
must,7
lgbts,7
brainwash,7
strangers,7
reat,6
protocols,6
elders,6
zion,6
everyone,6
else,6
allowing,6
compromises,6
patient,6
safety,6
never,6
equal,6
protected,6
lower,6
cognitive,6
human,6
cheap,5
malevolence,5
hate,5
think,5
children,5
gay,5
people,5
child,5
police,5
death,5
accept,5
home,5
less,5
also,5
government,4
behavior,4
spreads,4
ideology,4
every,4
sharia,4
cultures,4
invasion,4
hijab,4
means,4
legal,4
busting,4
balls,4
sooner,4
jeopardizing,4
care,3
faggots,3
abuse,3
anus,3
clear,3
conscience,3
donating,3
perverts,3
isolated,3
practicing,3
anal,3
sex,3
spreding,3
try,3
mental,3
illness,3
abomination,3
incompatible,3
like,3
nothing,3
dogs,3
apples,3
oranges,3
years,3
across,3
equality,3
power,3
happy,3
professions,3
barred,3
determins,3
role,3
laslty,3
value,3
pieces,3
poor,3
eye,3
unrespectful,3
culture,3
greedy,2
bunch,2
made,2
born,2
war,2
secretly,2
spreading,2
aids,2
around,2
promiscuous,2
fornicate,2
lgbt,2
spread,2
make,2
due,2
homosexuality,2
cured,2
would,2
two,2
men,2
replace,2
father,2
mother,2
call,2
repressive,2
persecutes,2
girl,2
potential,2
believe,2
demand,2
walk,2
point,2
listening,2
grooming,2
christian,2
place,2
civilised,2
religions,2
cause,2
worst,2
cruelest,2
one,2
uk,2
refuse,2
problems,2
remember,2
respect,2
word,2
countries,2
new,2
plague,2
repatriated,2
us,2
many,2
feminist,2
rights,2
trying,2
abilities,2
therefore,2
life,2
multiculturalism,2
societies,2
mortal,2
threat,2
minorities,2
universal,2
intolerance,2
violence,2
increase,2
mass,2
migration,2
level,2
seen,2
pouring,2
borders,2
replacing,2
welthy,1
naturally,1
good,1
jewish,1
landlords,1
exploit,1
jew,1
merchants,1
totally,1
run,1
rule,1
special,1
iraq,1
result,1
small,1
group,1
least,1
test,1
lie,1
learn,1
families,1
rather,1
class,1
restrain,1
imposing,1
allow,1
could,1
via,1
cultural,1
religious,1
right,1
rent,1
eliminate,1
testing,1
donors,1
end,1
prevent,1
peaceful,1
consult,1
evidence,1
raped,1
media,1
ignoring,1
obvious,1
risk,1
parents,1
terrorists,1
moon,1
cult,1
masquerading,1
liberal,1
complete,1
always,1
bound,1
fight,1
deception,1
contribute,1
fuck,1
disgusting,1
wont,1
marry,1
kids,1
locals,1
public,1
againt,1
feel,1
guilty,1
exploitation,1
dirty,1
filthy,1
terrorize,1
today,1
tomorrow,1
versions,1
engaged,1
actual,1
knows,1
jihad,1
core,1
support,1
politicians,1
covering,1
gangs,1
traitors,1
allowed,1
celebrate,1
easter,1
festival,1
fear,1
offending,1
wants,1
unemployable,1
elite,1
forgot,1
thousand,1
enemy,1
stopped,1
genocide,1
encourage,1
let,1
warriors,1
need,1
burn,1
koran,1
mosques,1
solve,1
came,1
straight,1
quran,1
despite,1
words,1
idelology,1
old,1
dont,1
belong,1
dreadful,1
book,1
root,1
english,1
living,1
islamic,1
keep,1
away,1
gifts,1
drink,1
lifts,1
social,1
problem,1
shows,1
establish,1
laws,1
describe,1
trouble,1
evil,1
holy,1
shall,1
envy,1
anyone,1
includes,1
first,1
set,1
foot,1
britain,1
started,1
asking,1
rules,1
ask,1
someone,1
needs,1
put,1
hole,1
ground,1
start,1
blow,1
know,1
rape,1
epidemic,1
europe,1
raping,1
counteraction,1
realist,1
rapes,1
perpetrated,1
male,1
non,1
fooled,1
local,1
afraid,1
excuse,1
powerless,1
great,1
capital,1
islamized,1
british,1
submits,1
whim,1
vast,1
majority,1
unemployed,1
totalitarian,1
doctrine,1
dressed,1
disguised,1
religion,1
tolerant,1
enough,1
bad,1
reputation,1
saw,1
video,1
kill,1
fair,1
example,1
misogynist,1
really,1
movement,1
similar,1
migrants,1
destroy,1
economy,1
immigrants,1
accepted,1
inferior,1
deserve,1
philosophers,1
argue,1
humans,1
especially,1
comes,1
